variable,lower_bound,upper_bound
CMD_at,0,141.226011
CMD_sm,0,477.414996
CMD_sp,0,198.5440161
CMD_wt,0,5.812280703
DD18_at,0.030389254,44.73620058
DD18_sm,0.047323053,332.7918665
DD18_sp,0.028864771,22.78483935
DD18_wt,5.41E-06,1.718877621
DD5_at,5.335057049,646.2440216
DD5_sm,60.00224159,1487.575961
DD5_sp,1.730478424,517.6080652
DD5_wt,0.000254963,125.4808577
DDsub0_at,6.774325359,872.3267468
DDsub0_sm,0,0
DDsub0_sp,9.771437969,1369.448692
DDsub0_wt,56.85618961,2598.96719
DDsub18_at,598.2510123,2449.111036
DDsub18_sm,43.57877487,1462.196766
DDsub18_sp,718.0833472,3006.460062
DDsub18_wt,1169.033265,4210.4002
Eref_at,0,201.0790471
Eref_sm,124.337831,518.8529315
Eref_sp,0,273.4738672
Eref_wt,0,66.9903204
NFFD_at,2.954700515,82.45231388
NFFD_sm,22.27561349,91.84612888
NFFD_sp,0.514487662,77.84541321
NFFD_wt,0.001265077,57.43478296
PAS_at,2.923968977,1143.294974
PAS_sm,0.011651586,223.4339664
PAS_sp,0.904882811,661.3411682
PAS_wt,15.70147225,1362.892228
PPT_at,53.13468773,1897.971871
PPT_sm,32.8836775,752.4721393
PPT_sp,33.6891493,998.5901611
PPT_wt,27.46260071,1688.535488
Tave_at,-8.899547858,11.82239439
Tave_sm,2.128944267,21.16709063
Tave_sp,-14.68806027,10.38139483
Tave_wt,-28.94534963,5.00573554
Tmax_at,-5.859953268,18.22272189
Tmax_sm,5.586527426,30.02383162
Tmax_sp,-10.04750978,17.31324229
Tmax_wt,-25.09582864,8.744498186
Tmin_at,-12.51286609,6.668337834
Tmin_sm,-1.64678668,12.5900022
Tmin_sp,-19.39495436,4.584102457
Tmin_wt,-32.81212774,1.678734103
AHM,-2.57770099,82.49128967
CMD_an,0,811.766001
CMI_an,-70.52904102,494.7956015
DD18_an,0.137375915,395.2433601
DD5_an,70.62001945,2623.768317
DDsub0_an,74.5156356,4819.638196
DDsub18_an,2696.943746,10487.46311
EMT,-55.6832909,-19.22359187
EXT,19.23986392,47.4812838
Eref_an,124.7558669,1020.715166
FFP,0,202.3946247
MAP,235.6953621,5173.928201
MAT,-10.86293642,11.27929004
MCMT,-30.74831102,4.346932111
MSP,66.66756847,1589.280693
MWMT,3.211053405,22.6031183
NFFD_an,28.33439073,308.5428862
PAS_an,21.36303398,3209.12131
PPT_an,235.6953621,5173.928201
SHM,3.017167718,329.5568185
TD,11.73419101,43.64083406
Tave_an,-10.86293642,11.27929004
Tmax_an,-6.858711061,17.70184061
Tmin_an,-14.91018779,5.850080304
bFFP,98.71998409,246.1742963
eFFP,216.6579359,301.4238289
