variable,lower_bound,upper_bound
CMD_at,0,358.5672482
CMD_sm,0,645.8967065
CMD_sp,0,570.9511917
CMD_wt,0,378.5694733
CMI_at,-45.31545715,121.2145398
CMI_sm,-69.19350067,55.80975723
CMI_sp,-55.42339493,63.44973969
CMI_wt,-42.06450562,117.123743
DD18_at,0.000459801,708.5139868
DD18_sm,0.005207999,1167.99998
DD18_sp,0.000788539,768.0125293
DD18_wt,1.99E-06,395.5350317
DD5_at,0.123178055,1894.893232
DD5_sm,17.14398109,2361.338633
DD5_sp,0.040648863,1968.671133
DD5_wt,5.77E-05,1614.0879
DDsub0_at,0.017268398,1920.213164
DDsub0_sm,0,0
DDsub0_sp,0.044389719,2232.873984
DDsub0_wt,0.37790771,2950.843828
DDsub18_at,13.63658398,3554.289102
DDsub18_sm,0.530268407,1896.572344
DDsub18_sp,10.21329926,3898.84708
DDsub18_wt,38.17191956,4564.185547
Eref_at,0,455.5510841
Eref_sm,129.1880137,691.4355582
Eref_sp,0,609.8796997
Eref_wt,0,406.2490234
NFFD_at,0.050107455,93.30134583
NFFD_sm,6.917479458,91.99688721
NFFD_sp,0.01269458,94.38825226
NFFD_wt,0.000435584,99.06573486
PAS_at,0.00705697,565.9700293
PAS_sm,0.000511484,105.381889
PAS_sp,3.78E-05,386.0798877
PAS_wt,0.001128402,758.3610107
PPT_at,22.21893143,1273.211553
PPT_sm,9.623140984,850.1792749
PPT_sp,7.743693962,694.2099463
PPT_wt,7.081524677,1190.574409
RH_at,44.88700195,82.69698334
RH_sm,43.85762756,82.90694855
RH_sp,42.03166718,76.24578827
RH_wt,41.78837555,81.68720428
Tave_at,-21.02810486,25.97391502
Tave_sm,-2.598669662,30.72901184
Tave_sp,-24.41196091,26.66570724
Tave_wt,-32.92943375,23.15559113
Tmax_at,-18.50834137,32.35204315
Tmax_sm,-0.378217902,38.91445923
Tmax_sp,-21.57275169,34.0567099
Tmax_wt,-29.63486687,30.062379
Tmin_at,-23.5894014,20.27052673
Tmin_sm,-4.831111927,23.66391335
Tmin_sp,-27.27411362,19.59002083
Tmin_wt,-36.3022731,16.66934418
AHM,-88.76399384,224.6067206
CMD,0,1669.111877
CMI,-178.0798712,329.8449402
DD18,0.006683654,2710.157578
DD5,17.39478531,7494.382109
DDsub0,0.44275539,7092.162598
DDsub18,65.78682007,13886.43641
EMT,-58.06256668,7.220021343
EXT,12.07940346,54.78218307
Eref,129.9345932,2049.998413
FFP,0,365
MAP,81.41315521,3586.389668
MAT,-20.16589897,25.69006516
MCMT,-34.23672485,22.71076965
MSP,24.05238174,1403.179224
MWMT,0.589088125,31.76735229
NFFD,7.063082428,378.7428613
PAS,0.040048819,1775.701362
PPT,81.41315521,3586.389668
RH,45.61595032,79.41836395
SHM,3.177974005,1121.326909
TD,4.601552429,41.79835724
Tave,-20.16589897,25.69006516
Tmax,-17.48027733,32.50503342
Tmin,-22.87223816,19.4104026
bFFP,0,232.028457
eFFP,190.7785333,365
elev,2.548319602,2707.623999
